Clase,SubClase,Rubro,SubRubro,Cuenta,Nombre,GLA_DESCRIPTION
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111110,EFECTIVO,Cash
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111111,CAJA,Cash
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111113,CAJA CHICA,Cash
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111114,MONEDA EXTRANJERA U$S,Cash
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111115,MONEDA EXTRANJERA EUROS,Cash
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111130,CHEQUES EN CARTERA,Cash
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111209,BANCO SUPERVIELLE,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111210,BANCO SANTANDER,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111211,BANCO SANTANDER DOLARES,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111212,BANCO CITI,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111213,BANCO CAPITAL MARKETS,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111214,BANCO CAPITAL MARKETS DOLARES,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111215,BALANZ CTA U$S,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111216,BALANZ CTA $,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111217,MERCADO PAGO,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111232,GASTOS A RENDIR TARJETAS,Accounts Receivable - Cash Advance
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111233,FONDOS A RENDIR AR$,Accounts Receivable - Cash Advance
