Clase,SubClase,Rubro,SubRubro,Cuenta,Nombre,GLA_DESCRIPTION
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111110,CAJA,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111111,MONEDA EXTRANJERA,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111113,CAJA CHICA,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111130,CHEQUES EN CARTERA,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111210,BANCO SANTANDER RIO,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111215,BALANZ CTA U$S,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111216,BANCO SANTANDER RIO USD,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111217,BALANZ CTA $ ,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111230,TARJETA AMEX UNO,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111231,Fondos a Rendir AR$,Accounts Receivable - Cash Advance
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111232,Fondos a Rendir USD,Accounts Receivable - Cash Advance
ACTIVO,ACTIVO CORRIENTE,DISPONIBILIDADES,,111240,TARJETA VISA UNO,Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112110,DEUDORES POR VENTAS,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112111,CONCEPTOS A FACTURAR,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112112,CONCEPTOS A FACTURAR INTERCOMPANY,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112120,CHEQUES DIFERIDOS CLIENTES(No Usar),Cash in Bank - Checking
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112130,PROVISION DE INGRESOS,Accounts Receivable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112205,ANTICIPO IMP A LAS GCIAS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112220,SALDO A FAVOR IMP GANANCIAS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112230,SALDO A FAVOR INGRESOS BRUTOS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112235,CRED FISCAL IVA 21%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112240,CRED FISCAL IVA 27%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112241,CRED FISCAL IVA 10.5%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112242,CRED FISCAL IVA 2.5%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112243,CRED FISCAL IVA 5%,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112245,PERCEPCION IVA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112246,PERCEPCION GANANCIAS RG 3550,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112247,PERCEPCION RG 4815,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112250,PERCEPCION IIBB CABA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112251,PERCEPCION IIBB BS AS,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112252,PERCEPCION IIBB CORDOBA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112253,PERCEPCION IIBB SANTA FE,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112260,SALDO A FAVOR IVA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112265,ANTICIPOS DE IVA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112270,ANTICIPOS IGMP,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112271,ACTIVO DIF IMP A LAS GCIAS	,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112280,RETENCION SUSS CLIENTES,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112285,GCIA.MINIMA PRESUNTA,Tax Payable
ACTIVO,ACTIVO CORRIENTE,CREDITOS,,112290,CREDITO FISCAL DESCUENTO DE CH,Tax Payable
